iter	Logloss
0	0.6789520437
1	0.6654762788
2	0.6516597054
3	0.6393029473
4	0.6273349415
5	0.6171822981
6	0.60613992
7	0.5974002318
8	0.5887191079
9	0.580226378
10	0.571222522
11	0.5618201169
12	0.5527678836
13	0.5454489968
14	0.5397807902
15	0.5320473584
16	0.5241508917
17	0.5170755386
18	0.5112176375
19	0.5059545257
20	0.5005600236
21	0.4958902706
22	0.4901889454
23	0.4858058583
24	0.4825332382
25	0.4781612916
26	0.4733429389
27	0.4702095552
28	0.4669347676
29	0.4636085684
30	0.4601090171
31	0.4559393796
32	0.4519099322
33	0.4491630034
34	0.4457696134
35	0.44304709
36	0.4398036003
37	0.43745327
38	0.435090065
39	0.4320752404
40	0.4296095588
41	0.4272305749
42	0.4248373725
43	0.422460556
44	0.4205528606
45	0.4187951521
46	0.416758754
47	0.4148546132
48	0.4129583619
49	0.4103505395
50	0.4082567042
51	0.4062905745
52	0.4041539972
53	0.4025371725
54	0.4013891654
55	0.4000714909
56	0.398645401
57	0.3971255476
58	0.3956506036
59	0.3942956491
60	0.3930035071
61	0.39195828
62	0.3912158446
63	0.3901838823
64	0.3887848421
65	0.3876019391
66	0.3865298791
67	0.3853572932
68	0.3846888542
69	0.3837859414
70	0.3826652007
71	0.3816272996
72	0.3803380619
73	0.3795813214
74	0.3788384524
75	0.3779556968
76	0.3775344328
77	0.3767450073
78	0.3761009303
79	0.3755357482
80	0.3749872988
81	0.3745792562
82	0.3737108057
83	0.3729662462
84	0.371877757
85	0.3715904409
86	0.3708936084
87	0.3701025789
88	0.3696976141
89	0.3693664291
90	0.3690752983
91	0.3682016893
92	0.367773793
93	0.3673974384
94	0.366827618
95	0.3661965457
96	0.3655533357
97	0.3650924943
98	0.3645185124
99	0.3638726581
8298437
