iter	Passed	Remaining
0	2	1375
1	5	1724
2	7	1589
3	9	1395
4	11	1435
5	13	1373
6	14	1272
7	16	1203
8	18	1241
9	19	1187
10	21	1172
11	23	1191
12	26	1201
13	27	1165
14	28	1140
15	30	1110
16	31	1088
17	32	1069
18	34	1084
19	37	1095
20	39	1116
21	42	1118
22	44	1121
23	46	1130
24	49	1145
25	50	1132
26	52	1119
27	53	1112
28	55	1109
29	56	1097
30	58	1094
31	63	1136
32	64	1121
33	65	1107
34	66	1092
35	69	1100
36	72	1113
37	74	1115
38	76	1114
39	79	1122
40	80	1108
41	81	1096
42	82	1082
43	83	1069
44	85	1064
45	86	1060
46	87	1049
47	89	1038
48	90	1029
49	92	1028
50	94	1032
51	95	1023
52	98	1028
53	99	1018
54	100	1009
55	101	1002
56	103	1001
57	104	994
58	106	988
59	107	980
60	109	980
61	111	979
62	112	976
63	114	975
64	116	976
65	119	983
66	120	975
67	121	968
68	123	961
69	125	961
70	126	960
71	128	953
72	129	949
73	130	942
74	131	935
75	132	930
76	134	924
77	137	934
78	140	938
79	141	933
80	142	929
81	144	925
82	145	920
83	146	915
84	147	910
85	149	904
86	150	903
87	152	898
88	155	907
89	156	903
90	158	903
91	160	898
92	161	896
93	162	891
94	164	886
95	165	883
96	167	881
97	169	880
98	170	877
99	172	877
100	174	874
101	175	869
102	176	864
