iter	Passed	Remaining
0	0	133
1	1	119
2	1	117
3	2	115
4	2	113
5	3	113
6	4	113
7	4	112
8	5	112
9	6	118
10	7	118
11	7	117
12	8	115
13	8	114
14	10	125
15	11	124
16	11	122
17	12	120
18	12	119
19	13	117
20	13	115
21	14	114
22	15	112
23	15	111
24	16	110
25	16	109
26	17	108
27	19	117
28	20	115
29	21	120
30	22	118
31	24	122
32	25	125
33	26	123
34	27	127
35	28	126
36	32	139
37	33	138
38	34	136
39	34	134
40	35	132
41	36	131
42	36	129
43	37	127
44	37	126
45	38	124
46	39	123
47	39	121
48	40	119
49	40	118
50	42	120
51	43	119
52	44	118
53	45	117
54	45	116
55	46	115
56	47	114
57	47	113
58	48	112
59	49	111
60	50	109
61	51	109
62	52	110
63	53	109
64	54	108
65	55	107
66	55	106
67	56	105
68	57	104
69	57	103
70	59	104
71	60	103
72	61	102
73	61	101
74	62	100
75	63	98
76	64	99
77	65	98
78	66	97
79	66	95
80	67	94
81	68	93
82	68	92
83	69	91
84	70	90
85	70	89
86	71	88
87	72	87
88	72	86
89	73	85
90	74	84
